115,Inferno Triathlon,21.08.15,22.08.15,46.561037,7.892308,www.inferno.ch,Murren,2
116,4.Passione Engadina,21.08.15,23.08.15,46.494851,9.836819,http://www.passione-engadina.ch,St. Moritz,2
117,Sonchaux Acro Show,21.08.15,23.08.15,46.398169,6.929724,www.acroshow.ch,Villeneuve VD,2
118,Grand Raid,22.08.15,22.08.15,46.113412,7.494061,www.evolene-region.ch,Evolene,2
119,Grand Raid / arrivee a Grimentz,22.08.15,22.08.15,46.178166,7.579418,www.grand-raid.ch,Grimentz,2
120,Inferno,22.08.15,22.08.15,46.624863,8.029789,www.inferno.ch,Grindelwald,2
121,Grand Raid,22.08.15,22.08.15,46.182139,7.304288,www.grand-raid.ch,Haute-Nendaz,2
122,Grand Raid,22.08.15,22.08.15,46.195992,7.339628,http://www.grand-raid.ch/,Veysonnaz,2
123,Matterhorn Ultraks Trail,22.08.15,22.08.15,46.018248,7.746751,http://www.ultraks.com/de/pages/parco urs/trail/parcours-46k--139,Zermatt,2
124,Triathlon de Lausanne,22.08.15,23.08.15,46.520014,6.633612,www.trilausanne.ch,Lausanne,2
125,Festival de lutte traditionnelle au Klewenalp,23.08.15,23.08.15,46.963051,8.482531,www.schwinger.6375.ch,Beckenried,2
126,Alpine Lakes Tour / Etape Romandie,23.08.15,23.08.15,46.648363,6.322446,www.alpssup.ch,L Abbaye,2
127,36ieme course d ete de l Engadin,23.08.15,23.08.15,46.494851,9.836819,www.engadiner-sommerlauf.ch,St. Moritz,2
128,The North Face Ultra-Trail du Mont-Blanc,27.08.15,30.08.15,46.029923,7.11726,http://www.ultratrailmb.com,Champex-Lac,2
129,Fiba World Tour 3x3 Lausanne,28.08.15,29.08.15,46.520014,6.633612,www.3x3worldtour.com,Lausanne,2
130,Balade Gourmande de Grandson et sa region,29.08.15,29.08.15,46.809343,6.644684,www.grandson-tourisme.ch,Grandson,2
131,Nendaz Trail,29.08.15,29.08.15,46.182139,7.304288,http://www.nendaztrail.ch,Haute-Nendaz,2
132,Brevet alpin,29.08.15,29.08.15,46.726948,8.185757,www.alpenbrevet.ch,Meiringen,2
133,13. Nationalpark Bike Marathon,29.08.15,29.08.15,46.696718,10.08982,www.bike-marathon.com,Zernez,2
134,Ride for the Cause,29.08.15,30.08.15,46.4422,6.894043,www.R4tC.org,Clarens,2
135,Festi Rando,29.08.15,30.08.15,46.521936,6.947896,www.les-paccots.ch,Les Paccots,2
136,symposium de sculpture sur bois,07.07.15,11.07.15,46.75696,8.031047,www.symposium-brienz.ch,Brienz BE,3
137,Exposition speciale au Musee du Cervin,11.07.15,25.10.15,46.018248,7.746751,http://www.matthias- taugwalder.com/matterhorn150,Zermatt,3
138,Alt+1000,12.07.15,21.09.15,46.467037,7.082629,www.plus1000.ch,Rossiniere,3
139,Les Quais du Dahlia,15.07.15,31.10.15,46.514844,6.492207,http://www.morges- tourisme.ch/fr/manifestations/top_event s/event-dahlias,Morges,3
140,Festival au Pays des Enfants,25.07.15,02.08.15,46.474639,7.129989,http://aupaysdesenfants.ch/,Chateau-d Oex,3
141,Rencontre des hydravions,06.08.15,10.08.15,46.38376,6.854954,www.bouveret.ch/hydravion,Bouveret,3
142,Marche villageois,08.08.15,08.08.15,46.48714,7.20834,www.chateau-doex.ch,Rougemont,3
143,Kunstmarkt Zofingen,15.08.15,15.08.15,47.292496,7.942771,www.kunstmarkt-zofingen.ch,Zofingen,3
144,St. Moritz Art Masters 2015,21.08.15,30.08.15,46.494851,9.836819,http://www.stmoritzartmasters.com,St. Moritz,3
145,Atelier de musique ancienne,23.08.15,30.08.15,46.582484,7.07393,www.anselmus.ch,Gruyeres,3
146,La Fete du Livre de St-Pierre-de-Clages,28.08.15,30.08.15,46.192166,7.236917,http://agenda.culturevalais.ch/fr/event/s how/4081,St-Pierre-de-Clages,3
147,La fete romaine,29.08.15,30.08.15,47.535105,7.717016,www.roemerfest.ch,Augst BL,3
148,Stars of Sounds and Wake n Jam,02.07.15,05.07.15,46.929947,7.121459,www.starsofsounds.ch,Murten,4
149,Stimmen Festival 2015,02.07.15,26.07.15,47.567126,7.599953,http://www.stimmen.com/,Basel,4
150,Festyvetes,02.07.15,13.08.15,46.7783,6.64166,www.yverdonlesbainsregion.ch/festyvet es,Yverdon-les-Bains,4
151,Summerblues Basel,03.07.15,03.07.15,47.567126,7.599953,http://www.summerblues.ch/Summerblu es/Summerblues.html,Basel,4
152,Fete des couleurs,03.07.15,04.07.15,46.320823,6.963444,www.fetedescouleurs.ch,Aigle,4
153,28. Ouest-suisse Festival de Yodel,03.07.15,05.07.15,46.110602,7.927351,www.jodlerfest-saas-fee.ch,Saas-Fee,4
154,Villars Big,03.07.15,05.07.15,46.305752,7.057469,http://www.vvjo.ch/,Villars-sur-Ollon,4
155,Fete de la rose a Weggis,03.07.15,05.07.15,47.032519,8.42872,www.rosenfest-weggis.ch,Weggis,4
156,Caliente! Latin Music Festival,03.07.15,05.07.15,47.370712,8.538775,www.caliente.ch,Zurich,4
157,Semaine musicale de Meiringen,03.07.15,11.07.15,46.726948,8.185757,www.musikfestwoche-meiringen.ch,Meiringen,4
158,Montreux Jazz Festival,03.07.15,18.07.15,46.436628,6.91313,www.montreuxjazzfestival.com,Montreux,4
159,Rive-Jazzy,03.07.15,15.08.15,46.383239,6.233879,http://www.rivejazzy.ch/,Nyon,4
160,Avenches Opera,04.07.15,04.07.15,46.87957,7.041798,www.avenchesopera.ch,Avenches,4
161,Wiler Stadtfest,04.07.15,04.07.15,47.463525,9.046265,www.wiltourismus.ch,Wil SG,4
162,Rendez-vous des Musiques Populaires,04.07.15,05.07.15,46.178166,7.579418,www.anniviers.ch,Grimentz,4
163,Ligita / Journees de la guitare du Liechtenstein,04.07.15,11.07.15,47.212361,9.524329,www.ligita.li,Eschen,4
164,Festival Musikdorf Ernen,04.07.15,21.08.15,46.398721,8.14512,http://agenda.culturevalais.ch/de/event/,Ernen,4
165,Fete des yodleurs Grindelwald/Bachlager,05.07.15,05.07.15,46.624863,8.029789,www.jkg.ch,Grindelwald,4
166,Pod Ring,07.07.15,11.07.15,47.139589,7.24303,www.podring.ch,Biel / Bienne,4
167,Sierre Blues Festival,08.07.15,12.07.15,46.292154,7.534829,www.sierreblues.ch,Sierre,4
168,Moon and Stars 2015,08.07.15,18.07.15,46.168046,8.789701,www.moonandstars.ch,Locarno,4
169,Festival de Jazz St. Moritz,09.07.15,09.08.15,46.494851,9.836819,http://www.festivaldajazz.ch,St. Moritz,4
170,Stars of Sounds,10.07.15,11.07.15,47.046674,7.277189,www.starsofsounds.ch,Aarberg,4
171,Journees de jazz de Lenk,10.07.15,19.07.15,46.454901,7.442572,www.jazztagelenk.ch,Lenk im Simmental,4
172,Festival International de guitare classique,10.07.15,14.08.15,46.182139,7.304288,www.nendaz.ch,Haute-Nendaz,4
173,Swing in the Wind,16.07.15,18.07.15,46.846925,6.849106,www.swingin.ch,Estavayer-le-Lac,4
174,Gurtenfestival,16.07.15,19.07.15,46.929339,7.448244,www.gurtenfestival.ch,Wabern,4
175,Leysin Music Panorama,16.07.15,23.08.15,46.34272,7.010512,http://www.leysin.ch/fr/Evenements/gra nds_rdv,Leysin,4
176,Menuhin Festival Gstaad,16.07.15,05.09.15,46.472456,7.28456,http://www.gstaadmenuhinfestival.ch,Gstaad,4
177,Festival de musiques : Parabole Festival,17.07.15,18.07.15,46.968143,6.84059,www.parabolefestival.ch,Bole,4
178,Blue Balls Festival,17.07.15,25.07.15,47.050778,8.306681,www.blueballs.ch,Luzern,4
179,Verbier Festival,17.07.15,02.08.15,46.096329,7.228854,http://agenda.culturevalais.ch/fr/event/s how/6222,Verbier,4
180,TALIS Festival & Academy,19.07.15,26.07.15,46.110602,7.927351,www.talisfestival.com/,Saas-Fee,4
181,Paleo Festival,20.07.15,26.07.15,46.383239,6.233879,www.paleo.ch,Nyon,4
